id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
99	Turkic	Oghuz	Azerbaijani	Darvag	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хаджбугъда	χaǯbuʁda	кукуруза	maize			DagLoans database	Darvag2, Darvag3	Samira Verhees	March 2025
100	Turkic	Oghuz	Azerbaijani	Darvag	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хаджибугъда	χaǯibuʁda	кукуруза	maize			DagLoans database	Darvag4, Darvag5	Samira Verhees	March 2025
28	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	lang	yes	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	qarğıdalı	garɣɯdalɯ	кукуруза	maize		https://en.wiktionary.org/wiki/qar%C4%9F%C4%B1dal%C4%B1	tagiyev2006c	60	Samira Verhees	March 2025
138	Turkic	Oghuz	Azerbaijani	Yersi	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьаджибугъда	haǯibuʁda	кукуруза	maize			DagLoans database	Yersi1	Samira Verhees	March 2025
137	Turkic	Oghuz	Azerbaijani	Yersi	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	каргъидалы	karʁidalɨ	кукуруза	maize			DagLoans database	Yersi2	Samira Verhees	March 2025
29	East Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	Maize	other	Type of name	unclear	Name origin	чакалъара	čakaɬara	кукуруза	maize			magomedova2004	386	Samira Verhees	March 2025
175	East Caucasian	Tsezic	Khwarshi	Inkhoqwari	village	no	no	Maize	other	Type of name	unclear	Name origin	МИ́ГЬ/Е	mihe	попкорн, воздушная кукуруза; жареные зёрна (пшеницы, кукурузы);	roasted maize kernels			dzhidalaevetal2022	417	Samira Verhees	March 2025
174	East Caucasian	Tsezic	Khwarshi	Inkhoqwari	village	no	no	Maize	other	Type of name	unclear	Name origin	гъагъа	ʁaʁa	попкорн (взорванные термической обработкой) зерна; воздушная кукуруза;	roasted maize kernels			dzhidalaevetal2022	118	Samira Verhees	March 2025
143	East Caucasian	Andic	Bagvalal	Tlibisho	village	no	yes	Maize	other wheat	Type of name	unclear	Name origin	шамакъар	šamaqʼar	кукуруза	maize			DagLoans database	Tlibisho1, Tlibisho2, Tlibisho3, Tlibisho4	Samira Verhees	March 2025
4	East Caucasian	Tsezic	Bezhta	Bezhta	village	no	yes	Maize	other	Type of name	simindi - Georgian	Name origin	симинди	simindi	кукуруза	maize			DagLoans database	Bezhta1	Samira Verhees	March 2025
173	East Caucasian	Khinalug	Khinalug	Khinalug	lang	no	no	Maize	other	Type of name	unclear	Name origin	хъим	qim	вареная кукуруза	boiled maize			ganieva2002	313	Samira Verhees	March 2025
30	East Caucasian	Tsezic	Bezhta	Bezhta	dialect_toplevel	yes	yes	Maize	other	Type of name	simindi - Georgian	Name origin	симинди // симилди	simindi // simildi	кукуруза	maize			xalilov2015	413	Samira Verhees	March 2025
31	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Maize	other wheat	Type of name	unclear	Name origin	ц1ебекъеру	cʼebeqʼeru	кукуруза	maize			saidovaabusov2012	393	Samira Verhees	March 2025
104	East Caucasian	Andic	Botlikh	Miarso	village	no	yes	Maize	other wheat	Type of name	unclear	Name origin	ц1екъеру	cʼeqʼeru	кукуруза	maize			saidovaabusov2012	393	Samira Verhees	March 2025
32	East Caucasian	Lezgic	Budukh	Budukh	village	yes	yes	Maize	other	Type of name	kukuruza - Russian	Name origin	кокруз	kokruz	кукуруза	maize			mejlanova1984	78	Samira Verhees	March 2025
105	East Caucasian	Andic	Chamalal	Gigatli	dialect_toplevel	yes	yes	Maize	other	Type of name	unclear	Name origin	чекал1ара	čekaƛara	кукуруза	maize			magomedova1999	289	Samira Verhees	March 2025
182	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	no	no	Maize	other	Type of name	unclear	Name origin	ГЪАГЪ/А	ʁaʁa	воздушная кукуруза	roasted maize kernels			khalilov1999	87	Samira Verhees	March 2025
33	East Caucasian	Andic	Chamalal	Lower Gakvari	village	no	yes	Maize	other	Type of name	unclear	Name origin	ча(н)гал1аа	ča(n)gaƛaː	кукуруза	maize			magomedova1999	289	Samira Verhees	March 2025
34	East Caucasian	Nakh	Chechen	Standard Chechen	lang	yes	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	хьаьжкӀа	ħæžkʼa	кукуруза	maize			aliroev2005	275	Samira Verhees	March 2025
107	East Caucasian	Dargwa	Dargwa	Kadar	dialect_nt1	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	хIажле́нкIи	ħažlenkʼi	кукуруза	maize			Dargwa dictionary project	https://lingconlab.ru/dargwa_dict/	Samira Verhees	March 2025
106	East Caucasian	Andic	Chamalal	Lower Gakvari	village	no	no	Maize	other	Type of name	unclear	Name origin	ч1ути	čʼuti	воздушная кукуруза	roasted maize kernels			magomedova1999	298	Samira Verhees	March 2025
38	East Caucasian	Dargwa	Dargwa	Kubachi	dialect_nt2	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	ХIЯЖЛАЧI-Е	ħjažlačʼe	кукуруза	maize		(букв. зерно хаджа)	magomedovsaidovakutta2017	339	Samira Verhees	March 2025
58	East Caucasian	Andic	Tindi	Tindi	village	no	no	Maize	other	Type of name	unclear	Name origin	гъварч1ч1а//гъвач1ч1а	ʁʷa(r)čʼːa	воздушная кукуруза	roasted maize kernels			magomedova2003	139	Samira Verhees	March 2025
102	East Caucasian	Andic	Bagvalal	Khushtada	village	no	no	Maize	other	Type of name	unclear	Name origin	буту(н)дари	butu(n)dari	воздушная кукуруза	roasted maize kernels			magomedova2004	457	Samira Verhees	March 2025
