CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
misc	hillery1994	Hillery, P. J.	Georgian: The Kartvelian literary language	1994		Languages Information Centre	Pontypridd												Alexandra Nogina	02.11.23		
incollection	khalilov2023a	Khalilov, Madzhid	Akhvakh (Northern dialect) dictionary	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard							http://ids.clld.org/contributions/33	Darya Tsikh	16.11.23	Available online	
incollection	khalilov2023b	Khalilov, Madzhid	Kryz dictionary	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard							http://ids.clld.org/contributions/518	Darya Tsikh	16.11.23	Available online	
incollection	khalilov2023c	Khalilov, Madzhid	Kumyk dictionary	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard							http://ids.clld.org/contributions/72	Darya Tsikh	16.11.23	Available online	
book	mikailov1959	Микаилов, Шихабудин И.	Очерки аварской диалектологии	1959	Essays on Avar dialectology	Издательство Академии наук СССР [Ленинградское отд-ние]	Leningrad												Rita Popova	01.12.23		bibtexkey changed
book	izgijaeva2005	Изгияева, Эдэсо Биньяминовна	Татский язык горских евреев Кавказа. Татско-русский и русско-татский словари	2005	Tat language of the mountain Jews of the Caucasus. Tat-Russian and Russian-Tat dictionaries	Издательство «Юпитер»	Makhachkala												Darya Tsikh	05.12.23		bibtexkey changed
incollection	comrie2004	Comrie, Bernard	Oblique-case subjects in Tsez	2004		John Benjamins Publishing Company	Amsterdam/Philadelphia	113-128	Non-nominative Subjects		Bhaskararao, Peri and Subbarao, Karumuri Venkata								Elena Shvedova	07.12.23		
book	tsibakhashvili1978	Цибахашвили, Георгий И.	Самоучитель грузинского языка	1978	Self-teacher of the Georgian language	Издательство Тбилисского университета	Tbilisi												Svetlana Zemicheva	13.12.2023		
misc	roncero2021	Roncero, Kristian	An audio-visual documentation of Chamalal, a language of Dagestan (Russia). Endangered Languages Archive	2019														http://hdl.handle.net/2196/00-0000-0000-0012-D792-E	Maria Starodubtseva	18.01.2024	Available online	
misc	muravyevdraft	Muravyev, Nikita	Southern Akhvakh, a grammar sketch														unpublished		Maria Starodubtseva	18.01.2024	NOT IN THE FOLDER	
misc	belyaevdraft2019	Belyaev, Oleg	A grammar of Shiri (Manuscript)	2019													unpublished		Maria Starodubtseva	18.01.2024	NOT IN THE FOLDER	
misc	authier2023	Authier, Gilles	The Khnov dialect of Southern Rutul	2023													unpublished		Maria Starodubtseva	18.01.2024		added to the folder
misc	creisselsquest2008	Creissels, Denis	Анкета по нахско-дагестанскому оптативу и императиву. Axaxdərə Akhvakh	2008	Questionnaire on Nakh-Daghestanian optative and imperative. Axaxdərə Akhvakh												unpublished	http://www.deniscreissels.fr/public/Creissels-opt.Akhv.pdf	Chiara Naccarato	07.02.2024	NOT IN THE FOLDER	
incollection	kozintseva2001	Kozintseva, Natalia A.	Imperative sentences in Armenian	2001		Lincom Europa	Munich	245--267	Typology of Imperative Constructions		Khrakovskij, Victor S. 								Chiara Naccarato	07.02.2024	NOT IN THE FOLDER	
book	eldarova1999	Эльдарова, Роза Г.	Лакский глагол (система глагольного словоизменения)	1999	Lak verb (system of verbal inflection)	IPC DGU	Makhachkala												Chiara Naccarato	07.02.2024	NOT IN THE FOLDER	
misc	alekseevaetal2023	Alekseeva, Anastasija and Beklemishev, Nikita and Daniel, Michael and Dobrushina, Nina and Filatov, Konstantin and Ivanova, Anastasija and Maisak, Timur and Melenchenko, Maksim and Moroz, George and Netkachev, Ivan and Sadakov, Ilja	Atlas of Rutul dialects	2023		Linguistic Convergence Laboratory, HSE University	Moscow											https://lingconlab.github.io/rutul_dialectology/index.html	Chiara Naccarato	07.02.2024		
misc	dobrushina2021draft	Dobrushina, Nina	Uses of volitional forms	2021					Grammar of Kina Rutul								unpublished		Chiara Naccarato	09.02.2024	NOT IN THE FOLDER	
incollection	ganenkov2019	Ganenkov, Dmitry	Case and agreement in Mehweb	2019		Language Science Press	Berlin	189-234	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Elena Shvedova	15.2.2024		
book	chumakinaetal2007print	Чумакина, Марина Э. and Браун, Д. and Квиллиам, Х. and Корбетт, Г. Г.	Словарь арчинского языка (арчинско-русско-английский)	2007	A dictionary of Archi: Archi-Russian-English	Деловой мир	Makhachkala												Timur Maisak	14.02.2024		see also chumakinaetal2007 online edition
book	dzhamalovsemedov2006	Джамалов, Камал Э. and Семедов, Семед А.	Рутульско-русский словарь (ихрекский диалект)	2006	Rutul-Russian dictionary (Ikhrek dialect)	Экон-Информ	Moscow												Timur Maisak	14.02.2024		
misc	hummatovrindpawlowski2020	Hümmətov (Qrızlı), İsrafil Ə. and Rind-Pawlowski, Monika	Qrızca-azərbaycanca-ingiliscə lüğət	2020	Kryz-Azerbaijani-Enlish dictionary		Baku												Timur Maisak	14.02.2024		no publisher
book	sulejmanov2003	Сулейманов, Надир Д.	Агульско-русский (диалектологический) словарь	2003	Agul-Russian dialectological dictionary	ИЯЛИ ДНЦ РАН	Makhachkala												Timur Maisak	14.02.2024		
book	alekseevazaev2019	Алексеев, Михаил Е. and Азаев, Халил Г.	Ботлихско-русский словарь	2019	Botlikh-Russian dictionary	Academia	Moscow												Timur Maisak	15.02.2024		
book	aliroev2005	Алироев, Ибрагим Ю.	Чеченско-русский словарь	2005	Chechen-Russian dictionary	Academia	Moscow												Timur Maisak	15.02.2024		
